ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,"procurement, financial assistance",PrimaryPlaceOfPerformanceCountryCode,,Country code where the predominant performance of the award will be accomplished.,32,37,,,,,,None,,,3,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceCountryName,,Name of the country represented by the country code where the predominant performance of the award will be accomplished.,33,38,,,,,,"Sub-contractor Principal Place of Performance_Country OR
Sub?awardee Principal Place of
Performance_Country",,,100,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,financial assistance,CFDA_NumberAndTitle,,"The number(s) and title(s) assigned to a Federal area of work in the Catalog of Federal Domestic Assistance. 
",20(A),27,,,,,,CFDA Program Number (and Program Title),,,255,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceAddressLine1,,A street address line indicating where the predominant performance of the award will be accomplished,30(A),33,,,,,,None,,,150,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceCityName,,The name of the city where the predominant performance of the award will be accomplished,30(C),32,,,,,,Sub-contractor Principal place of Performance_City,,,100,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceStateCode,,"United States Postal Service (USPS) two-letter abbreviation for the state or territory indicating where the predominant performance of the award will be accomplished. Identify States, the District of Columbia, territories (i.e., American Samoa, Guam, Northern Mariana Islands, Puerto Rico, U.S. Virgin Islands) and associated states (i.e., Republic of the Marshall Islands, the Federated States of Micronesia, and Palau) by their USPS two-letter abbreviation for the purposes of reporting.",30(D),34,,,,,,"Sub-contractor Principal Place of Performance_State OR
Sub-awardee Principal Place of
Performance_State",,,2,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,"procurement, financial assistance",PrimaryPlaceOfPerformanceZIP+4,,"United States ZIP code (five digits) concatenated with the additional +4 digits, identifying where the predominant performance of the award will be accomplished.",30(F)(i),35,,,,,,"Sub-contractor Principal Place of Performance_Zip+4 OR
Sub-awardee Principal Place of
Performance_Zip+4",,,10,Extracted,,,,,,File F - Sub-award Attributes,Award Characteristic Information
,,AllocationTransferAgencyIdentifier,Report date,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,51(A),1,20,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Conditional per Validation Rule,,,,string,"A1, A20",File A - Appropriations Account,Awardee and Recipient Entity Information
,,AgencyIdentifier,Report date,The agency code identifies the department or agency that is responsible for the account.,51(B),2,97,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Required,,,,string,"A1, A20",File A - Appropriations Account,Awardee and Recipient Entity Information
,,BeginningPeriodOfAvailability,Report date,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",51(C),3,2014,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File A - Appropriations Account,Awardee and Recipient Entity Information
,,EndingPeriodOfAvailability,Report date,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",51(D),4,2015,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File A - Appropriations Account,Awardee and Recipient Entity Information
,,AvailabilityTypeCode,Report date,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter 'X'.",51(E),5,X,,,,,,,Can be X or a blank.,1,Conditional per Validation Rule,,,,string,"A1, A21",File A - Appropriations Account,Awardee and Recipient Entity Information
,,MainAccountCode,Report date,The main account code identifies the account in statute.,51(F),6,5531,,,,,,,,4,Required,,,,string,A1,File A - Appropriations Account,Awardee and Recipient Entity Information
,,SubAccountCode,Report date,This is a component of the TAS. Identifies a Treasury-defined subdivision of the main account. This field cannot be blank. Subaccount 000 indicates the Parent account.,51(G),7,0,,,,,,,"For parent accounts (i.e., when no subaccount is available) input '000'.",3,Required,,,,string,A1,File A - Appropriations Account,Awardee and Recipient Entity Information
,,BudgetAuthorityUnobligatedBalanceBroughtForward_FYB,Fiscal Year Beg,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

For unexpired accounts: Amount of unobligated balance of appropriations or other budgetary resources carried forward from the preceding year and available for obligation without new action by Congress. For expired accounts: Amount of expired unobligated balances available for upward adjustments of obligations. ",52(A)_FYB,8,3500,,,,,,,"Crosswalks to SF 133 line 1000:  'Unobligated Balance Brought Forward, October 1.' This balance should be the same during fiscal year regardless of date context. Adjustments to unobligated balance brought forward should be captured in AdjustmentsToUnobligatedBalanceBroughtForward_CPE. This is the total for the TAS as of Fiscal Year Beginning.",21,Conditional per Validation Rule,,,,numeric,"A2, A7, A16, A17",File A - Appropriations Account,Awardee and Recipient Entity Information
,,AdjustmentsToUnobligatedBalanceBroughtForward_CPE,Current Period End,"The definition for this element appears in Appendix F of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Changes to unpaid obligations that occurred in a prior fiscal year and that were not recorded in the unpaid obligations as of October 1 of the current fiscal year. 

",52(B)_CPE,9,-3500,,,,,,,Aggregate of SF 133 lines  between (and including) 1010 and 1042. This is the total for the TAS at Current Period End.,21,Required,,,,numeric,"A2, A12, A17",File A - Appropriations Account,Awardee and Recipient Entity Information
,,BudgetAuthorityAppropriatedAmount_CPE,Current Period End,"The definition for this element appears in Section 20 of OMB Circular A-11 issued June 2015; a brief summary from A-11 appears below.

Appropriation means a provision of law (not necessarily in an appropriations act) authorizing the expenditure of funds for a given purpose. Usually, but not always, an appropriation provides budget authority.",52_CPE,10,3500,,,,,,,"Aggregate of SF 133 lines:  1160 Approp Discretionary, 1180 Advance Approp Discretionary, 1260 Approp Mandatory, and 1280 Advance Approp Mandatory. This is the total for the TAS at Current Period End. Otherwise known as 'Adjustment to unpaid obligations, brought forward.'",21,Required,,,,numeric,"A2, A8, A17",File A - Appropriations Account,Awardee and Recipient Entity Information
,,AllocationTransferAgencyIdentifier,Report date,The allocation agency identifies the department or agency that is receiving funds through an allocation (non-expenditure) transfer.,51(A),1,20,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Conditional per Validation Rule,,,,string,"A1, A20",File B - Object Class and Program Activity,Awardee and Recipient Entity Information
,,AgencyIdentifier,Report date,The agency code identifies the department or agency that is responsible for the account.,51(B),2,97,,,,,,,Include valid agency ID as per Common Government-wide Accounting Classification (CGAC),3,Required,,,,string,"A1, A20",File B - Object Class and Program Activity,Awardee and Recipient Entity Information
,,BeginningPeriodOfAvailability,Report date,"In annual and multi-year funds, the beginning period of availability identifies the first year of availability under law that an appropriation account may incur new obligations.",51(C),3,2014,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File B - Object Class and Program Activity,Awardee and Recipient Entity Information
,,EndingPeriodOfAvailability,Report date,"In annual and multi-year funds, the end period of availability identifies the last year of funds availability under law that an appropriation account may incur new obligations.",51(D),4,2015,,,,,,,,4,Conditional per Validation Rule,,,,string,A1,File B - Object Class and Program Activity,Awardee and Recipient Entity Information
,,AvailabilityTypeCode,Report date,"In appropriations accounts, the availability type code identifies an unlimited period to incur new obligations; this is denoted by the letter 'X'.",51(E),5,X,,,,,,,Can be X or a blank.,1,Conditional per Validation Rule,,,,string,"A1, A21",File B - Object Class and Program Activity,Awardee and Recipient Entity Information
